時間(秒),総合COP左右X(cm),総合COP前後Y(cm),左プレートCOP左右X(cm),左プレートCOP前後Y(cm),左荷重(kgf),右プレートCOP左右X(cm),右プレートCOP前後Y(cm),右荷重(kgf)
0.75,-2.303,-7.534,-20.321,-7.412,24.986,17.069,-7.665,23.239
0.76,-2.321,-7.531,-20.33,-7.42,25.025,17.064,-7.651,23.248
0.77,-2.322,-7.538,-20.33,-7.42,25.025,17.069,-7.665,23.239
0.78,-2.342,-7.537,-20.336,-7.413,25.015,17.044,-7.671,23.219
0.79,-2.337,-7.528,-20.321,-7.412,24.986,17.047,-7.653,23.18
0.8,-2.331,-7.522,-20.311,-7.415,24.976,17.058,-7.638,23.16
0.81,-2.332,-7.519,-20.311,-7.415,24.976,17.064,-7.631,23.151
0.82,-2.332,-7.519,-20.311,-7.415,24.976,17.064,-7.631,23.151
0.83,-2.331,-7.522,-20.311,-7.415,24.976,17.058,-7.638,23.16
0.84,-2.328,-7.529,-20.311,-7.415,24.976,17.047,-7.653,23.18
0.85,-2.328,-7.529,-20.311,-7.415,24.976,17.047,-7.653,23.18
0.86,-2.326,-7.533,-20.315,-7.419,24.995,17.055,-7.657,23.2
0.87,-2.312,-7.539,-20.338,-7.422,24.986,17.069,-7.665,23.239
0.88,-2.293,-7.555,-20.33,-7.453,24.947,17.069,-7.665,23.239
0.89,-2.293,-7.555,-20.33,-7.453,24.947,17.069,-7.665,23.239
0.9,-2.293,-7.555,-20.33,-7.453,24.947,17.069,-7.665,23.239
0.91,-2.29,-7.542,-20.33,-7.453,24.947,17.058,-7.637,23.258
0.92,-2.293,-7.552,-20.336,-7.446,24.937,17.069,-7.665,23.239
0.93,-2.274,-7.548,-20.328,-7.438,24.898,17.069,-7.665,23.239
0.94,-2.264,-7.549,-20.317,-7.441,24.888,17.069,-7.665,23.239
0.95,-2.264,-7.556,-20.323,-7.454,24.878,17.069,-7.665,23.239
0.96,-2.264,-7.573,-20.33,-7.486,24.868,17.069,-7.665,23.239
0.97,-2.261,-7.59,-20.317,-7.5,24.888,17.053,-7.687,23.268
0.98,-2.261,-7.59,-20.317,-7.5,24.888,17.053,-7.687,23.268
0.99,-2.261,-7.59,-20.317,-7.5,24.888,17.053,-7.687,23.268
1,-2.248,-7.596,-20.317,-7.5,24.888,17.055,-7.698,23.297
1.01,-2.227,-7.596,-20.317,-7.5,24.888,17.075,-7.699,23.326
1.02,-2.224,-7.583,-20.317,-7.5,24.888,17.064,-7.671,23.346
1.03,-2.224,-7.583,-20.317,-7.5,24.888,17.064,-7.671,23.346
1.04,-2.222,-7.566,-20.336,-7.479,24.859,17.058,-7.658,23.356
1.05,-2.196,-7.577,-20.304,-7.488,24.829,17.064,-7.671,23.346
1.06,-2.196,-7.553,-20.323,-7.468,24.8,17.069,-7.643,23.336
1.07,-2.197,-7.549,-20.323,-7.468,24.8,17.075,-7.636,23.326
1.08,-2.207,-7.544,-20.317,-7.455,24.81,17.062,-7.639,23.317
1.09,-2.198,-7.526,-20.311,-7.422,24.82,17.075,-7.636,23.326
1.1,-2.198,-7.529,-20.304,-7.429,24.829,17.075,-7.636,23.326
1.11,-2.207,-7.528,-20.315,-7.426,24.839,17.075,-7.636,23.326
1.12,-2.224,-7.528,-20.336,-7.42,24.859,17.069,-7.643,23.336
1.13,-2.224,-7.528,-20.336,-7.42,24.859,17.069,-7.643,23.336
1.14,-2.226,-7.525,-20.336,-7.42,24.859,17.075,-7.636,23.326
1.15,-2.226,-7.525,-20.336,-7.42,24.859,17.075,-7.636,23.326
1.16,-2.226,-7.518,-20.33,-7.408,24.868,17.075,-7.636,23.326
1.17,-2.226,-7.525,-20.336,-7.42,24.859,17.075,-7.636,23.326
1.18,-2.226,-7.494,-20.336,-7.362,24.859,17.075,-7.636,23.326
1.19,-2.216,-7.496,-20.326,-7.364,24.849,17.075,-7.636,23.326
1.2,-2.217,-7.499,-20.315,-7.367,24.839,17.062,-7.639,23.317
1.21,-2.208,-7.501,-20.304,-7.37,24.829,17.062,-7.639,23.317
1.22,-2.207,-7.497,-20.315,-7.367,24.839,17.075,-7.636,23.326
1.23,-2.226,-7.494,-20.336,-7.362,24.859,17.075,-7.636,23.326
1.24,-2.226,-7.494,-20.336,-7.362,24.859,17.075,-7.636,23.326
1.25,-2.225,-7.505,-20.323,-7.375,24.878,17.069,-7.643,23.336
1.26,-2.225,-7.509,-20.317,-7.382,24.888,17.069,-7.643,23.336
1.27,-2.253,-7.504,-20.349,-7.374,24.917,17.069,-7.643,23.336
1.28,-2.253,-7.504,-20.349,-7.374,24.917,17.069,-7.643,23.336
1.29,-2.253,-7.504,-20.349,-7.374,24.917,17.069,-7.643,23.336
1.3,-2.255,-7.491,-20.33,-7.355,24.947,17.075,-7.636,23.326
1.31,-2.254,-7.494,-20.342,-7.361,24.927,17.075,-7.636,23.326
1.32,-2.268,-7.498,-20.338,-7.377,24.908,17.06,-7.628,23.287
1.33,-2.26,-7.488,-20.336,-7.362,24.859,17.053,-7.624,23.268
1.34,-2.263,-7.478,-20.336,-7.362,24.859,17.069,-7.602,23.239
1.35,-2.265,-7.468,-20.33,-7.349,24.868,17.075,-7.595,23.229
