時間(秒),総合COP左右X(cm),総合COP前後Y(cm),左プレートCOP左右X(cm),左プレートCOP前後Y(cm),左荷重(kgf),右プレートCOP左右X(cm),右プレートCOP前後Y(cm),右荷重(kgf)
7.52,-2.052,-7.274,-20.336,-7.105,24.624,17.098,-7.451,23.512
7.53,-2.042,-7.272,-20.336,-7.105,24.624,17.111,-7.448,23.522
7.54,-2.032,-7.271,-20.336,-7.105,24.624,17.123,-7.445,23.531
7.55,-2.029,-7.254,-20.343,-7.098,24.615,17.112,-7.418,23.551
7.56,-2.028,-7.248,-20.343,-7.098,24.615,17.107,-7.405,23.561
7.57,-2.028,-7.248,-20.343,-7.098,24.615,17.107,-7.405,23.561
7.58,-2.018,-7.25,-20.336,-7.105,24.624,17.119,-7.402,23.57
7.59,-2.018,-7.246,-20.343,-7.098,24.615,17.119,-7.402,23.57
7.6,-2.027,-7.234,-20.349,-7.071,24.605,17.107,-7.405,23.561
7.61,-2.028,-7.221,-20.336,-7.045,24.624,17.107,-7.405,23.561
7.62,-2.029,-7.197,-20.336,-7.045,24.624,17.112,-7.356,23.551
7.63,-2.028,-7.191,-20.336,-7.045,24.624,17.107,-7.343,23.561
7.64,-2.028,-7.191,-20.336,-7.045,24.624,17.107,-7.343,23.561
7.65,-2.047,-7.188,-20.358,-7.04,24.644,17.107,-7.343,23.561
7.66,-2.056,-7.186,-20.369,-7.037,24.654,17.107,-7.343,23.561
7.67,-2.057,-7.197,-20.349,-7.058,24.683,17.107,-7.343,23.561
7.68,-2.057,-7.197,-20.349,-7.058,24.683,17.107,-7.343,23.561
7.69,-2.066,-7.196,-20.36,-7.055,24.693,17.107,-7.343,23.561
7.7,-2.07,-7.215,-20.36,-7.055,24.693,17.123,-7.383,23.531
7.71,-2.089,-7.223,-20.362,-7.071,24.742,17.123,-7.383,23.531
7.72,-2.099,-7.224,-20.362,-7.071,24.742,17.111,-7.386,23.522
7.73,-2.101,-7.235,-20.343,-7.092,24.771,17.111,-7.386,23.522
7.74,-2.124,-7.227,-20.343,-7.092,24.771,17.102,-7.37,23.473
7.75,-2.137,-7.215,-20.353,-7.089,24.781,17.118,-7.348,23.444
7.76,-2.162,-7.21,-20.343,-7.092,24.771,17.096,-7.335,23.385
7.77,-2.169,-7.219,-20.343,-7.092,24.771,17.129,-7.354,23.326
7.78,-2.227,-7.219,-20.375,-7.084,24.8,17.091,-7.363,23.297
7.79,-2.231,-7.223,-20.355,-7.105,24.829,17.102,-7.348,23.278
7.8,-2.232,-7.219,-20.355,-7.105,24.829,17.107,-7.341,23.268
7.81,-2.237,-7.246,-20.343,-7.119,24.849,17.124,-7.381,23.239
7.82,-2.257,-7.259,-20.343,-7.139,24.849,17.098,-7.388,23.219
7.83,-2.286,-7.254,-20.351,-7.127,24.888,17.086,-7.391,23.209
7.84,-2.296,-7.28,-20.362,-7.164,24.898,17.091,-7.404,23.2
7.85,-2.296,-7.314,-20.342,-7.185,24.927,17.086,-7.454,23.209
7.86,-2.323,-7.317,-20.38,-7.189,24.947,17.086,-7.454,23.209
7.87,-2.313,-7.329,-20.361,-7.21,24.976,17.093,-7.458,23.229
7.88,-2.311,-7.347,-20.342,-7.231,25.005,17.082,-7.473,23.248
7.89,-2.291,-7.344,-20.342,-7.231,25.005,17.107,-7.466,23.268
7.9,-2.301,-7.346,-20.342,-7.231,25.005,17.095,-7.47,23.258
7.91,-2.321,-7.349,-20.342,-7.231,25.005,17.069,-7.476,23.239
7.92,-2.324,-7.358,-20.361,-7.268,24.976,17.086,-7.454,23.209
7.93,-2.331,-7.37,-20.361,-7.268,24.976,17.113,-7.48,23.16
7.94,-2.342,-7.368,-20.361,-7.268,24.976,17.106,-7.476,23.141
7.95,-2.352,-7.37,-20.361,-7.268,24.976,17.093,-7.479,23.131
7.96,-2.341,-7.372,-20.361,-7.268,24.976,17.1,-7.483,23.151
7.97,-2.328,-7.377,-20.361,-7.268,24.976,17.102,-7.495,23.18
7.98,-2.328,-7.377,-20.361,-7.268,24.976,17.102,-7.495,23.18
7.99,-2.325,-7.399,-20.342,-7.289,25.005,17.086,-7.517,23.209
8,-2.321,-7.409,-20.342,-7.289,25.005,17.069,-7.539,23.239
8.01,-2.301,-7.406,-20.342,-7.289,25.005,17.095,-7.533,23.258
8.02,-2.311,-7.408,-20.342,-7.289,25.005,17.082,-7.536,23.248
8.03,-2.303,-7.425,-20.347,-7.326,24.947,17.075,-7.532,23.229
8.04,-2.296,-7.412,-20.349,-7.315,24.917,17.086,-7.517,23.209
8.05,-2.296,-7.412,-20.349,-7.315,24.917,17.086,-7.517,23.209
8.06,-2.296,-7.412,-20.349,-7.315,24.917,17.086,-7.517,23.209
8.07,-2.295,-7.409,-20.355,-7.308,24.908,17.086,-7.517,23.209
8.08,-2.282,-7.414,-20.357,-7.297,24.878,17.069,-7.539,23.239
8.09,-2.273,-7.419,-20.34,-7.307,24.878,17.069,-7.539,23.239
8.1,-2.23,-7.43,-20.323,-7.317,24.878,17.091,-7.551,23.297
8.11,-2.249,-7.431,-20.338,-7.318,24.908,17.091,-7.551,23.297
8.12,-2.254,-7.44,-20.349,-7.315,24.917,17.075,-7.573,23.326
8.13,-2.254,-7.44,-20.349,-7.315,24.917,17.075,-7.573,23.326
8.14,-2.227,-7.444,-20.317,-7.324,24.888,17.075,-7.573,23.326
8.15,-2.226,-7.434,-20.336,-7.303,24.859,17.075,-7.573,23.326
8.16,-2.224,-7.427,-20.336,-7.303,24.859,17.069,-7.56,23.336
8.17,-2.192,-7.405,-20.355,-7.282,24.829,17.102,-7.537,23.375
8.18,-2.185,-7.416,-20.334,-7.288,24.81,17.095,-7.553,23.356
8.19,-2.16,-7.403,-20.336,-7.276,24.781,17.085,-7.538,23.404
8.2,-2.158,-7.403,-20.343,-7.27,24.771,17.08,-7.545,23.414
8.21,-2.158,-7.403,-20.343,-7.27,24.771,17.08,-7.545,23.414
8.22,-2.157,-7.393,-20.362,-7.249,24.742,17.08,-7.545,23.414
8.23,-2.156,-7.396,-20.362,-7.249,24.742,17.075,-7.552,23.424
8.24,-2.136,-7.403,-20.341,-7.254,24.722,17.069,-7.559,23.434
8.25,-2.116,-7.406,-20.33,-7.257,24.712,17.076,-7.563,23.453
8.26,-2.106,-7.405,-20.33,-7.257,24.712,17.089,-7.56,23.463
8.27,-2.095,-7.4,-20.336,-7.25,24.703,17.102,-7.557,23.473
8.28,-2.093,-7.41,-20.33,-7.257,24.712,17.091,-7.572,23.492
8.29,-2.092,-7.414,-20.33,-7.257,24.712,17.085,-7.579,23.502
8.3,-2.091,-7.427,-20.343,-7.283,24.693,17.085,-7.579,23.502
8.31,-2.09,-7.43,-20.356,-7.288,24.673,17.085,-7.579,23.502
8.32,-2.09,-7.43,-20.356,-7.288,24.673,17.085,-7.579,23.502
8.33,-2.089,-7.423,-20.369,-7.274,24.654,17.085,-7.579,23.502
8.34,-2.089,-7.423,-20.369,-7.274,24.654,17.085,-7.579,23.502
8.35,-2.088,-7.427,-20.369,-7.274,24.654,17.08,-7.586,23.512
8.36,-2.077,-7.429,-20.369,-7.274,24.654,17.087,-7.59,23.531
8.37,-2.047,-7.434,-20.347,-7.28,24.634,17.094,-7.594,23.551
8.38,-2.037,-7.432,-20.347,-7.28,24.634,17.107,-7.591,23.561
8.39,-2.037,-7.432,-20.347,-7.28,24.634,17.107,-7.591,23.561
8.4,-2.036,-7.426,-20.347,-7.28,24.634,17.101,-7.578,23.57
8.41,-2.045,-7.424,-20.358,-7.277,24.644,17.101,-7.578,23.57
8.42,-2.053,-7.39,-20.349,-7.236,24.683,17.091,-7.551,23.59
8.43,-2.054,-7.397,-20.336,-7.25,24.703,17.091,-7.551,23.59
8.44,-2.054,-7.397,-20.336,-7.25,24.703,17.091,-7.551,23.59
8.45,-2.09,-7.4,-20.343,-7.243,24.693,17.08,-7.565,23.512
8.46,-2.094,-7.393,-20.349,-7.236,24.683,17.102,-7.557,23.473
8.47,-2.095,-7.4,-20.336,-7.25,24.703,17.102,-7.557,23.473
8.48,-2.129,-7.397,-20.33,-7.257,24.712,17.08,-7.545,23.414
8.49,-2.13,-7.39,-20.336,-7.25,24.703,17.085,-7.538,23.404
8.5,-2.132,-7.379,-20.343,-7.243,24.693,17.096,-7.523,23.385
8.51,-2.155,-7.375,-20.343,-7.243,24.693,17.082,-7.515,23.346
8.52,-2.146,-7.381,-20.33,-7.257,24.712,17.095,-7.511,23.356
8.53,-2.175,-7.403,-20.362,-7.249,24.742,17.1,-7.567,23.346
8.54,-2.176,-7.414,-20.343,-7.27,24.771,17.1,-7.567,23.346
8.55,-2.172,-7.432,-20.334,-7.288,24.81,17.096,-7.586,23.385
8.56,-2.191,-7.433,-20.349,-7.289,24.839,17.096,-7.586,23.385
8.57,-2.192,-7.44,-20.336,-7.303,24.859,17.096,-7.586,23.385
8.58,-2.212,-7.443,-20.336,-7.303,24.859,17.071,-7.592,23.365
8.59,-2.222,-7.444,-20.336,-7.303,24.859,17.058,-7.595,23.356
8.6,-2.226,-7.444,-20.336,-7.303,24.859,17.075,-7.594,23.326
8.61,-2.229,-7.453,-20.336,-7.303,24.859,17.091,-7.614,23.297
8.62,-2.248,-7.457,-20.345,-7.311,24.898,17.091,-7.614,23.297
8.63,-2.262,-7.449,-20.349,-7.315,24.917,17.107,-7.592,23.268
8.64,-2.291,-7.467,-20.362,-7.34,24.898,17.069,-7.602,23.239
8.65,-2.291,-7.473,-20.368,-7.353,24.888,17.069,-7.602,23.239
8.66,-2.292,-7.48,-20.355,-7.367,24.908,17.069,-7.602,23.239
8.67,-2.292,-7.484,-20.349,-7.374,24.917,17.069,-7.602,23.239
8.68,-2.292,-7.484,-20.349,-7.374,24.917,17.069,-7.602,23.239
8.69,-2.293,-7.491,-20.336,-7.387,24.937,17.069,-7.602,23.239
8.7,-2.302,-7.493,-20.34,-7.391,24.956,17.069,-7.602,23.239
8.71,-2.311,-7.491,-20.351,-7.389,24.966,17.069,-7.602,23.239
8.72,-2.311,-7.491,-20.351,-7.389,24.966,17.069,-7.602,23.239
8.73,-2.304,-7.507,-20.328,-7.405,24.976,17.075,-7.616,23.229
8.74,-2.312,-7.502,-20.332,-7.409,24.995,17.069,-7.602,23.239
8.75,-2.331,-7.502,-20.342,-7.406,25.005,17.057,-7.605,23.229
8.76,-2.322,-7.504,-20.332,-7.409,24.995,17.057,-7.605,23.229
8.77,-2.316,-7.514,-20.323,-7.44,24.956,17.055,-7.594,23.2
8.78,-2.321,-7.537,-20.33,-7.453,24.947,17.077,-7.627,23.16
8.79,-2.321,-7.537,-20.33,-7.453,24.947,17.077,-7.627,23.16
8.8,-2.327,-7.549,-20.33,-7.453,24.947,17.047,-7.653,23.18
8.81,-2.297,-7.551,-20.336,-7.466,24.937,17.086,-7.643,23.209
8.82,-2.293,-7.586,-20.33,-7.512,24.947,17.069,-7.665,23.239
8.83,-2.292,-7.579,-20.33,-7.512,24.947,17.064,-7.651,23.248
8.84,-2.265,-7.573,-20.33,-7.512,24.947,17.062,-7.639,23.317
8.85,-2.255,-7.572,-20.33,-7.512,24.947,17.075,-7.636,23.326
8.86,-2.266,-7.573,-20.342,-7.498,24.927,17.067,-7.653,23.307
8.87,-2.248,-7.575,-20.317,-7.5,24.888,17.055,-7.656,23.297
8.88,-2.226,-7.562,-20.323,-7.493,24.878,17.075,-7.636,23.326
8.89,-2.236,-7.557,-20.336,-7.479,24.859,17.062,-7.639,23.317
8.9,-2.226,-7.555,-20.336,-7.479,24.859,17.075,-7.636,23.326
8.91,-2.206,-7.548,-20.334,-7.465,24.81,17.075,-7.636,23.326
8.92,-2.197,-7.549,-20.323,-7.468,24.8,17.075,-7.636,23.326
8.93,-2.197,-7.549,-20.323,-7.468,24.8,17.075,-7.636,23.326
8.94,-2.194,-7.553,-20.317,-7.455,24.81,17.058,-7.658,23.356
8.95,-2.194,-7.553,-20.317,-7.455,24.81,17.058,-7.658,23.356
8.96,-2.173,-7.533,-20.33,-7.421,24.79,17.084,-7.651,23.375
8.97,-2.159,-7.542,-20.33,-7.421,24.79,17.08,-7.67,23.414
8.98,-2.158,-7.555,-20.343,-7.447,24.771,17.08,-7.67,23.414
8.99,-2.158,-7.555,-20.343,-7.447,24.771,17.08,-7.67,23.414
9,-2.158,-7.555,-20.343,-7.447,24.771,17.08,-7.67,23.414
9.01,-2.158,-7.555,-20.343,-7.447,24.771,17.08,-7.67,23.414
9.02,-2.158,-7.552,-20.349,-7.44,24.761,17.08,-7.67,23.414
9.03,-2.149,-7.553,-20.338,-7.443,24.751,17.08,-7.67,23.414
9.04,-2.139,-7.548,-20.341,-7.432,24.722,17.08,-7.67,23.414
9.05,-2.129,-7.549,-20.33,-7.435,24.712,17.08,-7.67,23.414
9.06,-2.128,-7.553,-20.33,-7.435,24.712,17.075,-7.677,23.424
9.07,-2.126,-7.56,-20.33,-7.435,24.712,17.064,-7.692,23.444
9.08,-2.154,-7.556,-20.343,-7.427,24.771,17.064,-7.692,23.444
9.09,-2.154,-7.566,-20.343,-7.447,24.771,17.064,-7.692,23.444
9.1,-2.154,-7.566,-20.343,-7.447,24.771,17.064,-7.692,23.444
9.11,-2.154,-7.566,-20.343,-7.447,24.771,17.064,-7.692,23.444
9.12,-2.153,-7.569,-20.343,-7.447,24.771,17.058,-7.699,23.453
9.13,-2.141,-7.575,-20.343,-7.447,24.771,17.06,-7.71,23.483
9.14,-2.131,-7.573,-20.343,-7.447,24.771,17.073,-7.707,23.492
9.15,-2.142,-7.571,-20.343,-7.447,24.771,17.066,-7.703,23.473
9.16,-2.154,-7.562,-20.349,-7.44,24.761,17.064,-7.692,23.444
9.17,-2.154,-7.552,-20.362,-7.426,24.742,17.069,-7.684,23.434
9.18,-2.139,-7.548,-20.341,-7.432,24.722,17.08,-7.67,23.414
9.19,-2.16,-7.554,-20.33,-7.435,24.712,17.042,-7.679,23.385
9.2,-2.166,-7.556,-20.33,-7.435,24.712,17.069,-7.685,23.336
9.21,-2.167,-7.559,-20.336,-7.428,24.703,17.075,-7.699,23.326
9.22,-2.17,-7.545,-20.343,-7.421,24.693,17.091,-7.677,23.297
9.23,-2.168,-7.559,-20.33,-7.435,24.712,17.08,-7.692,23.317
9.24,-2.186,-7.56,-20.351,-7.429,24.732,17.075,-7.699,23.326
9.25,-2.192,-7.576,-20.349,-7.44,24.761,17.058,-7.72,23.356
9.26,-2.158,-7.586,-20.343,-7.447,24.771,17.08,-7.732,23.414
9.27,-2.158,-7.579,-20.336,-7.434,24.781,17.08,-7.732,23.414
9.28,-2.156,-7.583,-20.343,-7.447,24.771,17.069,-7.726,23.434
9.29,-2.152,-7.576,-20.336,-7.434,24.781,17.053,-7.727,23.463
9.3,-2.156,-7.572,-20.343,-7.447,24.771,17.069,-7.705,23.434
9.31,-2.158,-7.586,-20.343,-7.447,24.771,17.08,-7.732,23.414
9.32,-2.158,-7.586,-20.343,-7.447,24.771,17.08,-7.732,23.414
9.33,-2.159,-7.568,-20.362,-7.426,24.742,17.091,-7.718,23.395
9.34,-2.191,-7.569,-20.362,-7.426,24.742,17.058,-7.72,23.356
9.35,-2.191,-7.573,-20.355,-7.433,24.751,17.058,-7.72,23.356
9.36,-2.192,-7.58,-20.343,-7.447,24.771,17.058,-7.72,23.356
9.37,-2.169,-7.598,-20.323,-7.468,24.8,17.067,-7.736,23.404
9.38,-2.169,-7.598,-20.328,-7.471,24.82,17.08,-7.732,23.414
9.39,-2.179,-7.604,-20.326,-7.482,24.849,17.08,-7.732,23.414
9.4,-2.183,-7.626,-20.349,-7.505,24.839,17.064,-7.754,23.444
9.41,-2.183,-7.636,-20.349,-7.525,24.839,17.064,-7.754,23.444
9.42,-2.184,-7.643,-20.336,-7.538,24.859,17.064,-7.754,23.444
9.43,-2.17,-7.669,-20.304,-7.547,24.829,17.067,-7.798,23.404
9.44,-2.193,-7.662,-20.311,-7.54,24.82,17.053,-7.79,23.365
9.45,-2.192,-7.671,-20.343,-7.565,24.771,17.058,-7.783,23.356
9.46,-2.192,-7.671,-20.343,-7.565,24.771,17.058,-7.783,23.356
9.47,-2.192,-7.671,-20.343,-7.565,24.771,17.058,-7.783,23.356
9.48,-2.202,-7.672,-20.343,-7.565,24.771,17.046,-7.786,23.346
9.49,-2.193,-7.658,-20.33,-7.539,24.79,17.058,-7.783,23.356
9.5,-2.192,-7.671,-20.343,-7.565,24.771,17.058,-7.783,23.356
9.51,-2.192,-7.681,-20.33,-7.579,24.79,17.053,-7.79,23.365
9.52,-2.189,-7.692,-20.323,-7.586,24.8,17.042,-7.805,23.385
9.53,-2.215,-7.705,-20.336,-7.597,24.859,17.031,-7.819,23.404
9.54,-2.194,-7.705,-20.336,-7.597,24.859,17.051,-7.82,23.434
9.55,-2.204,-7.707,-20.336,-7.597,24.859,17.039,-7.823,23.424
9.56,-2.218,-7.732,-20.33,-7.604,24.868,17.042,-7.867,23.385
9.57,-2.218,-7.728,-20.336,-7.597,24.859,17.042,-7.867,23.385
9.58,-2.2,-7.731,-20.315,-7.603,24.839,17.042,-7.867,23.385
9.59,-2.19,-7.733,-20.304,-7.606,24.829,17.042,-7.867,23.385
9.6,-2.19,-7.736,-20.33,-7.618,24.79,17.048,-7.86,23.375
9.61,-2.192,-7.725,-20.336,-7.611,24.781,17.058,-7.846,23.356
9.62,-2.192,-7.732,-20.343,-7.624,24.771,17.058,-7.846,23.356
9.63,-2.193,-7.718,-20.33,-7.598,24.79,17.058,-7.846,23.356
9.64,-2.202,-7.717,-20.323,-7.586,24.8,17.04,-7.856,23.356
9.65,-2.189,-7.722,-20.323,-7.586,24.8,17.042,-7.867,23.385
9.66,-2.19,-7.726,-20.317,-7.592,24.81,17.042,-7.867,23.385
9.67,-2.189,-7.736,-20.304,-7.606,24.829,17.037,-7.874,23.395
9.68,-2.196,-7.742,-20.315,-7.603,24.839,17.026,-7.889,23.414
9.69,-2.205,-7.747,-20.332,-7.613,24.839,17.026,-7.889,23.414
9.7,-2.19,-7.78,-20.311,-7.639,24.82,17.042,-7.93,23.385
9.71,-2.19,-7.787,-20.317,-7.651,24.81,17.042,-7.93,23.385
9.72,-2.19,-7.787,-20.317,-7.651,24.81,17.042,-7.93,23.385
9.73,-2.189,-7.783,-20.323,-7.645,24.8,17.042,-7.93,23.385
9.74,-2.191,-7.78,-20.323,-7.645,24.8,17.048,-7.923,23.375
9.75,-2.192,-7.776,-20.323,-7.645,24.8,17.053,-7.916,23.365
9.76,-2.192,-7.776,-20.323,-7.645,24.8,17.053,-7.916,23.365
9.77,-2.191,-7.78,-20.323,-7.645,24.8,17.048,-7.923,23.375
9.78,-2.189,-7.783,-20.323,-7.645,24.8,17.042,-7.93,23.385
9.79,-2.189,-7.783,-20.323,-7.645,24.8,17.042,-7.93,23.385
9.8,-2.191,-7.8,-20.323,-7.645,24.8,17.048,-7.965,23.375
9.81,-2.189,-7.817,-20.304,-7.665,24.829,17.037,-7.979,23.395
9.82,-2.19,-7.824,-20.304,-7.665,24.829,17.042,-7.992,23.385
9.83,-2.2,-7.836,-20.296,-7.682,24.868,17.037,-8,23.395
9.84,-2.217,-7.853,-20.336,-7.715,24.859,17.037,-8,23.395
9.85,-2.218,-7.863,-20.317,-7.735,24.888,17.037,-8,23.395
9.86,-2.215,-7.87,-20.317,-7.735,24.888,17.026,-8.014,23.414
9.87,-2.213,-7.861,-20.298,-7.756,24.917,17.01,-7.973,23.444
9.88,-2.216,-7.847,-20.304,-7.749,24.908,17.026,-7.951,23.414
9.89,-2.229,-7.831,-20.317,-7.735,24.888,17.029,-7.933,23.375
9.9,-2.247,-7.805,-20.326,-7.718,24.849,17.037,-7.897,23.297
9.91,-2.265,-7.812,-20.311,-7.698,24.82,17.026,-7.934,23.219
9.92,-2.266,-7.792,-20.304,-7.665,24.829,17.031,-7.927,23.209
9.93,-2.266,-7.792,-20.304,-7.665,24.829,17.031,-7.927,23.209
9.94,-2.268,-7.774,-20.323,-7.645,24.8,17.042,-7.912,23.19
9.95,-2.264,-7.774,-20.323,-7.645,24.8,17.026,-7.913,23.219
9.96,-2.271,-7.74,-20.315,-7.603,24.839,17.015,-7.885,23.239
9.97,-2.257,-7.742,-20.33,-7.604,24.868,17.042,-7.89,23.287
9.98,-2.257,-7.753,-20.317,-7.618,24.888,17.037,-7.897,23.297
9.99,-2.257,-7.753,-20.317,-7.618,24.888,17.037,-7.897,23.297
10,-2.265,-7.724,-20.328,-7.615,24.898,17.031,-7.841,23.307
10.01,-2.275,-7.702,-20.332,-7.579,24.917,17.037,-7.834,23.297
10.02,-2.276,-7.699,-20.319,-7.573,24.937,17.037,-7.834,23.297
10.03,-2.267,-7.697,-20.315,-7.57,24.917,17.037,-7.834,23.297
10.04,-2.275,-7.689,-20.342,-7.557,24.927,17.049,-7.831,23.307
10.05,-2.274,-7.686,-20.349,-7.55,24.917,17.049,-7.831,23.307
10.06,-2.277,-7.669,-20.349,-7.55,24.917,17.06,-7.795,23.287
10.07,-2.257,-7.647,-20.336,-7.538,24.859,17.042,-7.764,23.287
10.08,-2.26,-7.634,-20.33,-7.526,24.868,17.053,-7.75,23.268
10.09,-2.26,-7.617,-20.323,-7.493,24.878,17.053,-7.75,23.268
10.1,-2.26,-7.62,-20.336,-7.499,24.859,17.053,-7.75,23.268
10.11,-2.259,-7.617,-20.343,-7.492,24.849,17.053,-7.75,23.268
10.12,-2.256,-7.621,-20.336,-7.479,24.859,17.037,-7.771,23.297
10.13,-2.226,-7.623,-20.323,-7.493,24.878,17.075,-7.762,23.326
10.14,-2.223,-7.637,-20.317,-7.5,24.888,17.058,-7.783,23.356
10.15,-2.223,-7.637,-20.317,-7.5,24.888,17.058,-7.783,23.356
10.16,-2.222,-7.634,-20.323,-7.493,24.878,17.058,-7.783,23.356
10.17,-2.226,-7.616,-20.336,-7.479,24.859,17.075,-7.762,23.326
10.18,-2.197,-7.62,-20.323,-7.487,24.8,17.075,-7.762,23.326
10.19,-2.228,-7.624,-20.336,-7.493,24.781,17.042,-7.764,23.287
10.2,-2.228,-7.624,-20.336,-7.493,24.781,17.042,-7.764,23.287
10.21,-2.217,-7.62,-20.33,-7.48,24.79,17.049,-7.768,23.307
10.22,-2.196,-7.623,-20.336,-7.493,24.781,17.075,-7.762,23.326
10.23,-2.194,-7.624,-20.33,-7.48,24.79,17.064,-7.776,23.346
10.24,-2.192,-7.621,-20.33,-7.48,24.79,17.053,-7.769,23.365
10.25,-2.166,-7.608,-20.323,-7.468,24.8,17.051,-7.757,23.434
10.26,-2.162,-7.626,-20.315,-7.485,24.839,17.048,-7.775,23.473
10.27,-2.171,-7.625,-20.326,-7.482,24.849,17.048,-7.775,23.473
10.28,-2.161,-7.619,-20.328,-7.471,24.82,17.048,-7.775,23.473
10.29,-2.152,-7.617,-20.323,-7.468,24.8,17.048,-7.775,23.473
10.3,-2.153,-7.624,-20.323,-7.468,24.8,17.053,-7.789,23.463
10.31,-2.154,-7.61,-20.323,-7.468,24.8,17.058,-7.761,23.453
10.32,-2.154,-7.609,-20.355,-7.472,24.751,17.064,-7.754,23.444
10.33,-2.157,-7.632,-20.33,-7.494,24.712,17.031,-7.777,23.404
10.34,-2.156,-7.625,-20.33,-7.494,24.712,17.026,-7.764,23.414
10.35,-2.147,-7.63,-20.33,-7.494,24.712,17.044,-7.774,23.414
10.36,-2.126,-7.621,-20.33,-7.494,24.712,17.064,-7.754,23.444
10.37,-2.126,-7.621,-20.33,-7.494,24.712,17.064,-7.754,23.444
10.38,-2.125,-7.618,-20.323,-7.481,24.722,17.058,-7.761,23.453
10.39,-2.123,-7.618,-20.317,-7.468,24.732,17.048,-7.775,23.473
10.4,-2.123,-7.618,-20.317,-7.468,24.732,17.048,-7.775,23.473
10.41,-2.141,-7.608,-20.332,-7.45,24.761,17.048,-7.775,23.473
10.42,-2.151,-7.607,-20.343,-7.447,24.771,17.048,-7.775,23.473
10.43,-2.135,-7.603,-20.321,-7.453,24.751,17.058,-7.761,23.453
10.44,-2.126,-7.59,-20.33,-7.435,24.712,17.064,-7.754,23.444
10.45,-2.126,-7.59,-20.33,-7.435,24.712,17.064,-7.754,23.444
10.46,-2.126,-7.59,-20.33,-7.435,24.712,17.064,-7.754,23.444
10.47,-2.126,-7.59,-20.33,-7.435,24.712,17.064,-7.754,23.444
10.48,-2.126,-7.59,-20.33,-7.435,24.712,17.064,-7.754,23.444
10.49,-2.126,-7.59,-20.33,-7.435,24.712,17.064,-7.754,23.444
10.5,-2.126,-7.597,-20.317,-7.449,24.732,17.064,-7.754,23.444
10.51,-2.145,-7.598,-20.332,-7.45,24.761,17.064,-7.754,23.444
10.52,-2.154,-7.596,-20.343,-7.447,24.771,17.064,-7.754,23.444
10.53,-2.154,-7.596,-20.343,-7.447,24.771,17.064,-7.754,23.444
10.54,-2.153,-7.61,-20.33,-7.461,24.79,17.053,-7.768,23.463
10.55,-2.155,-7.603,-20.33,-7.461,24.79,17.064,-7.754,23.444
10.56,-2.154,-7.596,-20.343,-7.447,24.771,17.064,-7.754,23.444
10.57,-2.164,-7.598,-20.343,-7.447,24.771,17.051,-7.757,23.434
10.58,-2.154,-7.596,-20.343,-7.447,24.771,17.064,-7.754,23.444
10.59,-2.152,-7.603,-20.343,-7.447,24.771,17.053,-7.768,23.463
10.6,-2.165,-7.585,-20.334,-7.425,24.81,17.064,-7.754,23.444
10.61,-2.165,-7.578,-20.328,-7.413,24.82,17.064,-7.754,23.444
10.62,-2.189,-7.577,-20.33,-7.421,24.79,17.042,-7.742,23.385
10.63,-2.193,-7.56,-20.323,-7.409,24.8,17.058,-7.72,23.356
10.64,-2.193,-7.56,-20.323,-7.409,24.8,17.058,-7.72,23.356
10.65,-2.214,-7.55,-20.345,-7.403,24.82,17.069,-7.706,23.336
10.66,-2.215,-7.553,-20.351,-7.415,24.81,17.075,-7.699,23.326
10.67,-2.228,-7.557,-20.33,-7.421,24.79,17.042,-7.701,23.287
10.68,-2.243,-7.555,-20.334,-7.406,24.81,17.064,-7.714,23.248
10.69,-2.262,-7.558,-20.355,-7.4,24.829,17.069,-7.728,23.239
10.7,-2.262,-7.558,-20.355,-7.4,24.829,17.069,-7.728,23.239
10.71,-2.263,-7.562,-20.349,-7.407,24.839,17.069,-7.728,23.239
10.72,-2.26,-7.58,-20.336,-7.42,24.859,17.053,-7.75,23.268
10.73,-2.258,-7.573,-20.336,-7.42,24.859,17.048,-7.736,23.278
10.74,-2.277,-7.573,-20.368,-7.412,24.888,17.066,-7.746,23.278
10.75,-2.25,-7.572,-20.349,-7.432,24.917,17.058,-7.72,23.356
10.76,-2.252,-7.568,-20.349,-7.432,24.917,17.064,-7.713,23.346
10.77,-2.263,-7.56,-20.347,-7.424,24.947,17.069,-7.706,23.336
10.78,-2.254,-7.555,-20.342,-7.42,24.927,17.075,-7.699,23.326
10.79,-2.288,-7.549,-20.342,-7.42,24.927,17.053,-7.687,23.268
10.8,-2.288,-7.555,-20.349,-7.432,24.917,17.053,-7.687,23.268
10.81,-2.29,-7.538,-20.368,-7.412,24.888,17.064,-7.672,23.248
10.82,-2.271,-7.541,-20.347,-7.418,24.868,17.064,-7.672,23.248
10.83,-2.261,-7.546,-20.336,-7.42,24.859,17.058,-7.679,23.258
10.84,-2.26,-7.549,-20.336,-7.42,24.859,17.053,-7.687,23.268
10.85,-2.249,-7.548,-20.336,-7.42,24.859,17.066,-7.683,23.278
10.86,-2.235,-7.554,-20.347,-7.418,24.868,17.075,-7.699,23.326
10.87,-2.24,-7.563,-20.357,-7.415,24.878,17.058,-7.72,23.356
10.88,-2.222,-7.566,-20.336,-7.42,24.859,17.058,-7.72,23.356
10.89,-2.222,-7.566,-20.336,-7.42,24.859,17.058,-7.72,23.356
10.9,-2.221,-7.555,-20.355,-7.4,24.829,17.058,-7.72,23.356
